"","UniqueCarrier","FlightNum"
"367","WN",1916
"368","WN",31
"369","WN",476
"370","WN",1481
"371","WN",1600
"372","WN",2100
"373","WN",3154
"374","WN",3230
"375","WN",1314
"376","WN",63
"377","WN",186
"378","WN",626
"379","WN",1410
"380","WN",1578
"381","WN",2089
"382","WN",2436
"383","WN",3321
"384","WN",2176
"385","WN",3574
"386","WN",3845
"387","WN",29
"388","WN",45
"389","WN",201
"390","WN",968
"391","WN",1491
"392","WN",1685
"393","WN",3915
"394","WN",823
"395","WN",901
"396","WN",957
"397","WN",231
"398","WN",570
"399","WN",1028
"400","WN",2124
"401","WN",2183
"402","WN",2358
"403","WN",3502
"404","WN",342
"405","WN",1188
"406","WN",39
"407","WN",49
"408","WN",144
"409","WN",1392
"410","WN",2096
"411","WN",7
"412","WN",99
"413","WN",2014
"414","WN",3408
"415","WN",1
"416","WN",9
"417","WN",21
"418","WN",35
"419","WN",43
"420","WN",53
"421","WN",2
"422","WN",4
"423","WN",6
"424","WN",8
"425","WN",10
"426","WN",12
"427","WN",16
"428","WN",18
"429","WN",20
"430","WN",24
"431","WN",26
"432","WN",28
"433","WN",30
"434","WN",32
"435","WN",34
"436","WN",36
"437","WN",38
"438","WN",40
"439","WN",42
"440","WN",44
"441","WN",46
"442","WN",48
"443","WN",50
"444","WN",52
"445","WN",54
"446","WN",56
"447","WN",58
"448","WN",60
"449","WN",64
"450","WN",1636
"451","WN",689
"452","WN",2360
"453","WN",2367
"454","WN",195
"455","WN",218
"456","WN",807
"457","WN",506
"458","WN",1665
"459","WN",5
"460","WN",11
"461","WN",19
"462","WN",27
"463","WN",33
"464","WN",37
"465","WN",47
"466","WN",55
"467","WN",1628
"468","WN",205
"469","WN",534
"470","WN",2015
"471","WN",3244
"472","WN",23
"473","WN",223
"474","WN",237
"475","WN",1258
"476","WN",1950
"477","WN",430
"478","WN",971
"479","WN",1026
"480","WN",1113
"481","WN",588
"482","WN",1343
"483","WN",3841
"484","WN",3
"485","WN",25
"486","WN",51
"487","WN",940
"488","WN",2621
"489","WN",519
"490","WN",894
"491","WN",969
"492","WN",2174
"493","WN",2445
"494","WN",2974
"495","WN",41
"496","WN",78
"497","WN",311
"498","WN",521
"499","WN",714
"500","WN",788
"501","WN",880
"502","WN",1257
"503","WN",1317
"504","WN",1776
"505","WN",3234
"506","WN",1192
"507","WN",2011
"508","WN",877
"509","WN",956
"510","WN",1230
"511","WN",1916
"512","WN",31
"513","WN",476
"514","WN",1481
"515","WN",1600
"516","WN",2100
"517","WN",3154
"518","WN",3230
"519","WN",1314
"520","WN",63
"521","WN",186
"522","WN",609
"523","WN",626
"524","WN",1410
"525","WN",2089
"526","WN",2436
"527","WN",3321
"528","WN",426
"529","WN",2176
"530","WN",3574
"531","WN",3845
"532","WN",29
"533","WN",45
"534","WN",201
"535","WN",968
"536","WN",308
"537","WN",1491
"538","WN",1685
"539","WN",3915
"540","WN",823
"541","WN",901
"542","WN",957
"543","WN",231
"544","WN",570
"545","WN",1028
"546","WN",2124
"547","WN",2183
"548","WN",2358
"549","WN",3502
"550","WN",342
"551","WN",1188
"552","WN",39
"553","WN",49
"554","WN",144
"555","WN",1392
"556","WN",2096
"557","WN",7
"558","WN",99
"559","WN",2014
"560","WN",3408
"561","WN",1
"562","WN",9
"563","WN",21
"564","WN",35
"565","WN",43
"566","WN",53
"567","WN",2
"568","WN",4
"569","WN",6
"570","WN",8
"571","WN",10
"572","WN",12
"573","WN",16
"574","WN",18
"575","WN",20
"576","WN",24
"577","WN",26
"578","WN",28
"579","WN",30
"580","WN",32
"581","WN",34
"582","WN",36
"583","WN",38
"584","WN",40
"585","WN",42
"586","WN",44
"587","WN",46
"588","WN",48
"589","WN",50
"590","WN",52
"591","WN",54
"592","WN",56
"593","WN",58
"594","WN",60
"595","WN",64
"596","WN",1636
"597","WN",689
"598","WN",2360
"599","WN",2367
"600","WN",195
"601","WN",218
"602","WN",807
"603","WN",506
"604","WN",1665
"605","WN",5
"606","WN",11
"607","WN",19
"608","WN",27
"609","WN",33
"610","WN",37
"611","WN",47
"612","WN",55
"613","WN",1628
"614","WN",205
"615","WN",534
"616","WN",2015
"617","WN",3244
"618","WN",23
"619","WN",223
"620","WN",237
"621","WN",1258
"622","WN",1950
"623","WN",430
"624","WN",971
"625","WN",1026
"626","WN",1113
"627","WN",588
"628","WN",1343
"629","WN",3841
"630","WN",3
"631","WN",25
"632","WN",51
"633","WN",940
"634","WN",2621
"635","WN",519
"636","WN",894
"637","WN",969
"638","WN",2174
"639","WN",2445
"640","WN",2974
"641","WN",41
"642","WN",78
"643","WN",311
"644","WN",521
"645","WN",714
"646","WN",788
"647","WN",880
"648","WN",1257
"649","WN",1317
"650","WN",1776
"651","WN",3234
"652","WN",1192
"653","WN",2011
"654","WN",877
"655","WN",956
"656","WN",1230
"657","WN",1916
"658","WN",31
"659","WN",476
"660","WN",1481
"661","WN",1600
"662","WN",2100
"663","WN",3154
"664","WN",3230
"665","WN",1314
"666","WN",63
"667","WN",186
"668","WN",609
"669","WN",626
"670","WN",1410
"671","WN",2089
"672","WN",2436
"673","WN",3321
"674","WN",426
"675","WN",2176
"676","WN",3574
"677","WN",3845
"678","WN",29
"679","WN",45
"680","WN",201
"681","WN",968
"682","WN",308
"683","WN",1491
"684","WN",1685
"685","WN",3915
"686","WN",823
"687","WN",901
"688","WN",957
"689","WN",231
"690","WN",570
"691","WN",1028
"692","WN",2124
"693","WN",2183
"694","WN",2358
"695","WN",3502
"696","WN",342
"697","WN",1188
"698","WN",39
"699","WN",49
"700","WN",144
"701","WN",1392
"702","WN",2096
"703","WN",7
"704","WN",99
"705","WN",2014
"706","WN",3408
"707","WN",1
"708","WN",9
"709","WN",21
"710","WN",35
"711","WN",43
"712","WN",53
"713","WN",2
"714","WN",4
"715","WN",6
"716","WN",8
"717","WN",10
"718","WN",12
"719","WN",16
"720","WN",18
"721","WN",20
"722","WN",24
"723","WN",26
"724","WN",28
"725","WN",30
"726","WN",32
"727","WN",34
"728","WN",36
"729","WN",38
"730","WN",40
"731","WN",42
"732","WN",44
"733","WN",46
"734","WN",48
"735","WN",50
"736","WN",52
"737","WN",54
"738","WN",56
"739","WN",58
"740","WN",60
"741","WN",64
"742","WN",1636
"743","WN",689
"744","WN",2360
"745","WN",2367
"746","WN",195
"747","WN",218
"748","WN",807
"749","WN",506
"750","WN",1665
"751","WN",5
"752","WN",11
"753","WN",19
"754","WN",27
"755","WN",33
"756","WN",37
"757","WN",47
"758","WN",55
"759","WN",1628
"760","WN",205
"761","WN",534
"762","WN",2015
"763","WN",3244
"764","WN",23
"765","WN",223
"766","WN",237
"767","WN",1258
"768","WN",1950
"769","WN",430
"770","WN",971
"771","WN",1026
"772","WN",1113
"773","WN",588
"774","WN",1343
"775","WN",3841
"776","WN",3
"777","WN",25
"778","WN",51
"779","WN",940
"780","WN",2621
"781","WN",519
"782","WN",894
"783","WN",969
"784","WN",2174
"785","WN",2445
"786","WN",2974
"787","WN",41
"788","WN",78
"789","WN",311
"790","WN",521
"791","WN",714
"792","WN",788
"793","WN",880
"794","WN",1257
"795","WN",1317
"796","WN",1776
"797","WN",3234
"798","WN",1192
"799","WN",2011
"800","WN",877
"801","WN",956
"802","WN",1230
"803","WN",1916
"804","WN",31
"805","WN",476
"806","WN",1481
"807","WN",1600
"808","WN",2100
"809","WN",3154
"810","WN",3230
"811","WN",1314
"812","WN",63
"813","WN",186
"814","WN",609
"815","WN",626
"816","WN",1410
"817","WN",2089
"818","WN",2436
"819","WN",3321
"820","WN",426
"821","WN",2176
"822","WN",3574
"823","WN",3845
"824","WN",29
"825","WN",45
"826","WN",201
"827","WN",968
"828","WN",308
"829","WN",1491
"830","WN",1685
"831","WN",3915
"832","WN",823
"833","WN",901
"834","WN",957
"835","WN",231
"836","WN",570
"837","WN",1028
"838","WN",2124
"839","WN",2183
"840","WN",2358
"841","WN",3502
"842","WN",342
"843","WN",1188
"844","WN",39
"845","WN",49
"846","WN",144
"847","WN",1392
"848","WN",2096
"849","WN",7
"850","WN",99
"851","WN",2014
"852","WN",3408
"853","WN",1
"854","WN",9
"855","WN",21
"856","WN",35
"857","WN",43
"858","WN",53
"859","WN",2
"860","WN",4
"861","WN",6
"862","WN",8
"863","WN",10
"864","WN",12
"865","WN",16
"866","WN",18
"867","WN",20
"868","WN",24
"869","WN",26
"870","WN",28
"871","WN",30
"872","WN",32
"873","WN",34
"874","WN",36
"875","WN",38
"876","WN",40
"877","WN",42
"878","WN",44
"879","WN",46
"880","WN",48
"881","WN",50
"882","WN",52
"883","WN",54
"884","WN",56
"885","WN",58
"886","WN",60
"887","WN",64
"888","WN",1636
"889","WN",689
"890","WN",2360
"891","WN",2367
"892","WN",195
"893","WN",218
"894","WN",807
"895","WN",506
"896","WN",1665
"897","WN",5
"898","WN",11
"899","WN",19
"900","WN",27
"901","WN",33
"902","WN",37
"903","WN",47
"904","WN",55
"905","WN",1628
"906","WN",205
"907","WN",534
"908","WN",2015
"909","WN",3244
"910","WN",23
"911","WN",223
"912","WN",237
"913","WN",1258
"914","WN",1950
"915","WN",430
"916","WN",971
"917","WN",1026
"918","WN",1113
"919","WN",588
"920","WN",1343
"921","WN",3841
"922","WN",3
"923","WN",25
"924","WN",51
"925","WN",940
"926","WN",2621
"927","WN",389
"928","WN",519
"929","WN",894
"930","WN",969
"931","WN",2174
"932","WN",2445
"933","WN",2974
"934","WN",41
"935","WN",78
"936","WN",311
"937","WN",521
"938","WN",714
"939","WN",788
"940","WN",880
"941","WN",1257
"942","WN",1317
"943","WN",1776
"944","WN",3234
"945","WN",1192
"946","WN",2011
"947","WN",877
"948","WN",956
"949","WN",1230
"950","WN",1916
"951","WN",31
"952","WN",476
"953","WN",1481
"954","WN",1600
"955","WN",2100
"956","WN",3154
"957","WN",3230
"958","WN",1314
"959","WN",63
"960","WN",186
"961","WN",609
"962","WN",626
"963","WN",1410
"964","WN",2089
"965","WN",2436
"966","WN",3321
"967","WN",426
"968","WN",2176
"969","WN",3574
"970","WN",3845
"971","WN",29
"972","WN",45
"973","WN",201
"974","WN",968
"975","WN",308
"976","WN",1491
"977","WN",1685
"978","WN",3915
"979","WN",823
"980","WN",901
"981","WN",957
"982","WN",231
"983","WN",570
"984","WN",1028
"985","WN",2124
"986","WN",2183
"987","WN",2358
"988","WN",3502
"989","WN",342
"990","WN",1188
"991","WN",39
"992","WN",49
"993","WN",144
"994","WN",1392
"995","WN",2096
"996","WN",7
"997","WN",99
"998","WN",2014
"999","WN",3408
"1000","WN",1
"1001","WN",9
"1002","WN",21
"1003","WN",35
"1004","WN",43
"1005","WN",53
"1006","WN",2
"1007","WN",4
"1008","WN",6
"1009","WN",8
"1010","WN",10
"1011","WN",12
"1012","WN",16
"1013","WN",18
"1014","WN",20
"1015","WN",24
"1016","WN",26
"1017","WN",28
"1018","WN",30
"1019","WN",32
"1020","WN",34
"1021","WN",36
"1022","WN",38
"1023","WN",40
"1024","WN",42
"1025","WN",44
"1026","WN",46
"1027","WN",48
"1028","WN",50
"1029","WN",52
"1030","WN",54
"1031","WN",56
"1032","WN",58
"1033","WN",60
"1034","WN",64
"1035","WN",1636
"1036","WN",689
"1037","WN",2360
"1038","WN",2367
"1039","WN",195
"1040","WN",218
"1041","WN",807
"1042","WN",506
"1043","WN",1665
"1044","WN",5
"1045","WN",11
"1046","WN",19
"1047","WN",27
"1048","WN",33
"1049","WN",37
"1050","WN",47
"1051","WN",55
"1052","WN",1628
"1053","WN",205
"1054","WN",534
"1055","WN",2015
"1056","WN",3244
"1057","WN",23
"1058","WN",223
"1059","WN",237
"1060","WN",1258
"1061","WN",1950
"1062","WN",430
"1063","WN",971
"1064","WN",1026
"1065","WN",1113
"1066","WN",588
"1067","WN",1343
"1068","WN",3841
"1069","WN",3
"1070","WN",25
"1071","WN",51
"1072","WN",940
"1073","WN",2621
"1074","WN",389
"1075","WN",519
"1076","WN",894
"1077","WN",969
"1078","WN",2174
"1079","WN",2445
"1080","WN",2974
"1081","WN",41
"1082","WN",78
"1083","WN",311
"1084","WN",521
"1085","WN",714
"1086","WN",788
"1087","WN",880
"1088","WN",1257
"1089","WN",1317
"1090","WN",1776
"1091","WN",3234
"1092","WN",1192
"1093","WN",2011
"1094","WN",877
"1095","WN",956
"1096","WN",1230
"1097","WN",1916
"1098","WN",31
"1099","WN",476
"1100","WN",1481
"1101","WN",1600
"1102","WN",2100
"1103","WN",3154
"1104","WN",3230
"1105","WN",1314
"1106","WN",63
"1107","WN",186
"1108","WN",609
"1109","WN",626
"1110","WN",1410
"1111","WN",2089
"1112","WN",2436
"1113","WN",3321
"1114","WN",426
"1115","WN",2176
"1116","WN",3574
"1117","WN",3845
"1118","WN",29
"1119","WN",45
"1120","WN",201
"1121","WN",968
"1122","WN",308
"1123","WN",1491
"1124","WN",1685
"1125","WN",3915
"1126","WN",823
"1127","WN",901
"1128","WN",178
"1129","WN",1003
"1130","WN",2124
"1131","WN",2358
"1132","WN",2654
"1133","WN",342
"1134","WN",2242
"1135","WN",14
"1136","WN",39
"1137","WN",147
"1138","WN",2096
"1139","WN",268
"1140","WN",2014
"1141","WN",3408
"1142","WN",9
"1143","WN",21
"1144","WN",35
"1145","WN",47
"1146","WN",6
"1147","WN",8
"1148","WN",12
"1149","WN",16
"1150","WN",18
"1151","WN",20
"1152","WN",24
"1153","WN",26
"1154","WN",28
"1155","WN",30
"1156","WN",32
"1157","WN",36
"1158","WN",38
"1159","WN",40
"1160","WN",42
"1161","WN",46
"1162","WN",50
"1163","WN",54
"1164","WN",749
"1165","WN",916
"1166","WN",689
"1167","WN",2360
"1168","WN",2367
"1169","WN",695
"1170","WN",807
"1171","WN",506
"1172","WN",1665
"1173","WN",11
"1174","WN",19
"1175","WN",33
"1176","WN",252
"1177","WN",253
"1178","WN",205
"1179","WN",534
"1180","WN",2015
"1181","WN",3244
"1182","WN",23
"1183","WN",237
"1184","WN",854
"1185","WN",1258
"1186","WN",430
"1187","WN",971
"1188","WN",1026
"1189","WN",1113
"1190","WN",588
"1191","WN",1343
"1192","WN",2795
"1193","WN",25
"1194","WN",405
"1195","WN",940
"1196","WN",2621
"1197","WN",519
"1198","WN",544
"1199","WN",2445
"1200","WN",2523
"1201","WN",41
"1202","WN",311
"1203","WN",373
"1204","WN",521
"1205","WN",788
"1206","WN",1655
"1207","WN",1874
"1208","WN",3234
"1209","WN",131
"1210","WN",2011
"1211","WN",877
"1212","WN",956
"1213","WN",1230
"1214","WN",31
"1215","WN",338
"1216","WN",919
"1217","WN",1478
"1218","WN",1600
"1219","WN",1314
"1220","WN",206
"1221","WN",626
"1222","WN",2089
"1223","WN",2211
"1224","WN",2436
"1225","WN",3321
"1226","WN",370
"1227","WN",2176
"1228","WN",3845
"1229","WN",29
"1230","WN",201
"1231","WN",203
"1232","WN",968
"1233","WN",657
"1234","WN",713
"1235","WN",679
"1236","WN",3166
"1237","WN",3399
"1238","WN",224
"1239","WN",1670
"1240","WN",2116
"1241","WN",2891
"1242","WN",3056
"1243","WN",3407
"1244","WN",3942
"1245","WN",39
"1246","WN",880
"1247","WN",1665
"1248","WN",1680
"1249","WN",3404
"1250","WN",283
"1251","WN",1082
"1252","WN",1094
"1253","WN",2361
"1254","WN",35
"1255","WN",43
"1256","WN",53
"1257","WN",99
"1258","WN",12
"1259","WN",16
"1260","WN",20
"1261","WN",24
"1262","WN",26
"1263","WN",28
"1264","WN",30
"1265","WN",32
"1266","WN",34
"1267","WN",36
"1268","WN",38
"1269","WN",40
"1270","WN",42
"1271","WN",44
"1272","WN",46
"1273","WN",48
"1274","WN",50
"1275","WN",52
"1276","WN",54
"1277","WN",56
"1278","WN",60
"1279","WN",62
"1280","WN",64
"1281","WN",1027
"1282","WN",2202
"1283","WN",2438
"1284","WN",103
"1285","WN",1114
"1286","WN",1526
"1287","WN",3
"1288","WN",41
"1289","WN",11
"1290","WN",19
"1291","WN",27
"1292","WN",33
"1293","WN",37
"1294","WN",47
"1295","WN",55
"1296","WN",513
"1297","WN",3679
"1298","WN",3757
"1299","WN",23
"1300","WN",259
"1301","WN",585
"1302","WN",1126
"1303","WN",1749
"1304","WN",973
"1305","WN",2985
"1306","WN",3761
"1307","WN",1561
"1308","WN",698
"1309","WN",1235
"1310","WN",17
"1311","WN",25
"1312","WN",51
"1313","WN",1635
"1314","WN",1647
"1315","WN",609
"1316","WN",816
"1317","WN",1250
"1318","WN",1352
"1319","WN",1757
"1320","WN",217
"1321","WN",315
"1322","WN",809
"1323","WN",1357
"1324","WN",1412
"1325","WN",2011
"1326","WN",2039
"1327","WN",3583
"1328","WN",272
"1329","WN",438
"1330","WN",290
"1331","WN",1075
"1332","WN",1462
"1333","WN",31
"1334","WN",201
"1335","WN",1290
"1336","WN",1365
"1337","WN",1946
"1338","WN",2096
"1339","WN",2126
"1340","WN",245
"1341","WN",522
"1342","WN",793
"1343","WN",1159
"1344","WN",1264
"1345","WN",2242
"1346","WN",2386
"1347","WN",3415
"1348","WN",1148
"1349","WN",1317
"1350","WN",2177
"1351","WN",3065
"1352","WN",29
"1353","WN",45
"1354","WN",570
"1355","WN",1304
"1356","WN",1465
"1357","WN",1931
"1358","WN",679
"1359","WN",3166
"1360","WN",3399
"1361","WN",224
"1362","WN",255
"1363","WN",1670
"1364","WN",2116
"1365","WN",2891
"1366","WN",3056
"1367","WN",3407
"1368","WN",1924
"1369","WN",3942
"1370","WN",39
"1371","WN",880
"1372","WN",1665
"1373","WN",1680
"1374","WN",3404
"1375","WN",283
"1376","WN",1082
"1377","WN",1094
"1378","WN",2361
"1379","WN",1
"1380","WN",9
"1381","WN",21
"1382","WN",35
"1383","WN",43
"1384","WN",53
"1385","WN",2
"1386","WN",4
"1387","WN",6
"1388","WN",8
"1389","WN",10
"1390","WN",12
"1391","WN",16
"1392","WN",18
"1393","WN",20
"1394","WN",24
"1395","WN",26
"1396","WN",28
"1397","WN",30
"1398","WN",32
"1399","WN",34
"1400","WN",36
"1401","WN",38
"1402","WN",40
"1403","WN",42
"1404","WN",44
"1405","WN",46
"1406","WN",48
"1407","WN",50
"1408","WN",52
"1409","WN",54
"1410","WN",56
"1411","WN",60
"1412","WN",62
"1413","WN",64
"1414","WN",1636
"1415","WN",1027
"1416","WN",2202
"1417","WN",2438
"1418","WN",103
"1419","WN",1114
"1420","WN",1526
"1421","WN",3
"1422","WN",41
"1423","WN",5
"1424","WN",11
"1425","WN",19
"1426","WN",27
"1427","WN",33
"1428","WN",37
"1429","WN",47
"1430","WN",55
"1431","WN",1628
"1432","WN",513
"1433","WN",2904
"1434","WN",3679
"1435","WN",3757
"1436","WN",23
"1437","WN",259
"1438","WN",1126
"1439","WN",1749
"1440","WN",3318
"1441","WN",973
"1442","WN",2798
"1443","WN",2985
"1444","WN",3761
"1445","WN",1561
"1446","WN",698
"1447","WN",1235
"1448","WN",7
"1449","WN",25
"1450","WN",51
"1451","WN",1635
"1452","WN",1647
"1453","WN",609
"1454","WN",816
"1455","WN",1250
"1456","WN",1352
"1457","WN",1757
"1458","WN",3927
"1459","WN",217
"1460","WN",621
"1461","WN",809
"1462","WN",1357
"1463","WN",1412
"1464","WN",1741
"1465","WN",2011
"1466","WN",2039
"1467","WN",2351
"1468","WN",3241
"1469","WN",3583
"1470","WN",272
"1471","WN",438
"1472","WN",290
"1473","WN",1075
"1474","WN",1462
"1475","WN",2735
"1476","WN",31
"1477","WN",201
"1478","WN",448
"1479","WN",1365
"1480","WN",1946
"1481","WN",2096
"1482","WN",2126
"1483","WN",245
"1484","WN",522
"1485","WN",793
"1486","WN",1159
"1487","WN",1387
"1488","WN",2386
"1489","WN",2447
"1490","WN",3333
"1491","WN",3415
"1492","WN",1148
"1493","WN",1317
"1494","WN",2177
"1495","WN",3065
"1496","WN",15
"1497","WN",29
"1498","WN",45
"1499","WN",3497
"1500","WN",709
"1501","WN",1304
"1502","WN",1465
"1503","WN",1931
"1504","WN",679
"1505","WN",3166
"1506","WN",3399
"1507","WN",224
"1508","WN",255
"1509","WN",1670
"1510","WN",2116
"1511","WN",2891
"1512","WN",3056
"1513","WN",3407
"1514","WN",1924
"1515","WN",3942
"1516","WN",39
"1517","WN",880
"1518","WN",1665
"1519","WN",1680
"1520","WN",3404
"1521","WN",283
"1522","WN",1082
"1523","WN",1094
"1524","WN",2361
"1525","WN",1
"1526","WN",9
"1527","WN",21
"1528","WN",35
"1529","WN",43
"1530","WN",53
"1531","WN",2
"1532","WN",4
"1533","WN",6
"1534","WN",8
"1535","WN",10
"1536","WN",12
"1537","WN",16
"1538","WN",18
"1539","WN",20
"1540","WN",24
"1541","WN",26
"1542","WN",28
"1543","WN",30
"1544","WN",32
"1545","WN",34
"1546","WN",36
"1547","WN",38
"1548","WN",40
"1549","WN",42
"1550","WN",44
"1551","WN",46
"1552","WN",48
"1553","WN",50
"1554","WN",52
"1555","WN",54
"1556","WN",56
"1557","WN",60
"1558","WN",62
"1559","WN",64
"1560","WN",1636
"1561","WN",1027
"1562","WN",2202
"1563","WN",2438
"1564","WN",103
"1565","WN",1114
"1566","WN",1526
"1567","WN",3
"1568","WN",41
"1569","WN",5
"1570","WN",11
"1571","WN",19
"1572","WN",27
"1573","WN",33
"1574","WN",37
"1575","WN",47
"1576","WN",55
"1577","WN",1628
"1578","WN",513
"1579","WN",2904
"1580","WN",3679
"1581","WN",3757
"1582","WN",23
"1583","WN",259
"1584","WN",1126
"1585","WN",1749
"1586","WN",3318
"1587","WN",973
"1588","WN",2798
"1589","WN",2985
"1590","WN",3761
"1591","WN",1561
"1592","WN",698
"1593","WN",1235
"1594","WN",7
"1595","WN",25
"1596","WN",51
"1597","WN",1635
